% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.018	1	0	2	9	1	0	81	0	0
0.87	1	1	88	1	1	28	2196	0	0
0.019	1	0	2	10	2	0	81	0	0
0.727	1	1	73	8	1	28	2196	0	0
0.02	1	0	3	1	3	0	81	0	0
0.571	1	1	58	2	1	28	2196	0	0
0.185	1	0	19	6	1	8	137	0	0
0.185	1	0	19	6	2	28	185	0	0
0.185	1	0	19	6	3	14	193	0	0
0.185	1	0	19	6	4	20	389	0	0
0.871	1	1	88	2	1	28	2196	0	0
0.728	1	1	73	9	1	28	2196	0	0
0.572	1	1	58	3	1	28	2196	0	0
0.186	1	0	19	7	1	8	209	0	0
0.186	1	0	19	7	2	28	185	0	0
0.186	1	0	19	7	3	14	125	0	0
0.186	1	0	19	7	5	22	349	0	0
0.021	1	0	3	2	1	0	81	0	0
0.729	1	1	73	10	1	28	2196	0	0
0.573	1	1	58	4	1	28	2196	0	0
0.022	1	0	3	3	2	0	81	0	0
0.187	1	0	19	8	1	8	173	0	0
0.187	1	0	19	8	2	28	185	0	0
0.187	1	0	19	8	3	14	193	0	0
0.187	1	0	19	8	4	20	293	0	0
0.73	1	1	74	1	1	28	2196	0	0
0.574	1	1	58	5	1	28	2196	0	0
0.023	1	0	3	4	4	0	81	0	0
0.731	1	1	74	2	1	28	2196	0	0
0.024	1	0	3	5	5	0	81	0	0
0.575	1	1	58	6	1	28	2196	0	0
0.188	1	0	19	9	1	8	173	0	0
0.188	1	0	19	9	2	28	185	0	0
0.188	1	0	19	9	3	14	193	0	0
0.188	1	0	19	9	5	22	349	0	0
0.025	1	0	3	6	3	0	81	0	0
0.872	1	1	88	3	1	28	2196	0	0
0.576	1	1	58	7	1	28	2196	0	0
0.732	1	1	74	3	1	28	2196	0	0
0.189	1	0	19	10	1	8	173	0	0
0.189	1	0	19	10	3	14	193	0	0
0.189	1	0	19	10	4	20	389	0	0
0.577	1	1	58	8	1	28	2196	0	0
0.733	1	1	74	4	1	28	2196	0	0
0.026	1	0	3	7	4	0	81	0	0
0.19	1	0	20	1	1	8	173	0	0
0.19	1	0	20	1	2	28	373	0	0
0.19	1	0	20	1	3	14	125	0	0
0.19	1	0	20	1	5	22	349	0	0
0.578	1	1	58	9	1	28	2196	0	0
0.734	1	1	74	5	1	28	2196	0	0
0.027	1	0	3	8	5	0	81	0	0
0.191	1	0	20	2	1	8	173	0	0
0.191	1	0	20	2	3	14	253	0	0
0.191	1	0	20	2	4	20	293	0	0
0.579	1	1	58	10	1	28	2196	0	0
0.873	1	1	88	4	1	28	2196	0	0
0.028	1	0	3	9	1	8	421	0	0
0.735	1	1	74	6	1	28	2196	0	0
0.58	1	1	59	1	1	28	2196	0	0
0.874	1	1	88	5	1	28	2196	0	0
0.029	1	0	3	10	2	28	2196	0	0
0.192	1	0	20	3	1	8	173	0	0
0.192	1	0	20	3	2	28	373	0	0
0.192	1	0	20	3	4	20	193	0	0
0.192	1	0	20	3	5	22	349	0	0
0.736	1	1	74	7	1	28	2196	0	0
0.581	1	1	59	2	1	28	2196	0	0
0.875	1	1	88	6	1	28	2196	0	0
0.03	1	0	4	1	3	14	775	0	0
0.193	1	0	20	4	1	8	173	0	0
0.193	1	0	20	4	3	14	317	0	0
0.193	1	0	20	4	4	20	193	0	0
0.737	1	1	74	8	1	28	2196	0	0
0.582	1	1	59	3	1	28	2196	0	0
0.876	1	1	88	7	1	28	2196	0	0
0.031	1	0	4	2	4	20	1191	0	0
0.738	1	1	74	9	1	28	2196	0	0
0.194	1	0	20	5	1	8	173	0	0
0.194	1	0	20	5	2	28	373	0	0
0.194	1	0	20	5	3	14	125	0	0
0.194	1	0	20	5	5	22	349	0	0
0.583	1	1	59	4	1	28	2196	0	0
0.032	1	0	4	3	5	22	1383	0	0
0.584	1	1	59	5	1	28	2196	0	0
0.739	1	1	74	10	1	28	2196	0	0
0.195	1	0	20	6	1	8	173	0	0
0.195	1	0	20	6	3	14	193	0	0
0.033	1	0	4	4	1	8	421	0	0
0.195	1	0	20	6	4	20	389	0	0
0.74	1	1	75	1	1	28	2196	0	0
0.585	1	1	59	6	1	28	2196	0	0
0.034	1	0	4	5	3	14	775	0	0
0.196	1	0	20	7	1	8	173	0	0
0.196	1	0	20	7	2	28	373	0	0
0.196	1	0	20	7	3	14	193	0	0
0.196	1	0	20	7	5	22	233	0	0
0.586	1	1	59	7	1	28	2196	0	0
0.741	1	1	75	2	1	28	2196	0	0
0.035	1	0	4	6	1	8	421	0	0
0.877	1	1	88	8	1	28	2196	0	0
0.197	1	0	20	8	1	8	173	0	0
0.197	1	0	20	8	3	14	125	0	0
0.197	1	0	20	8	4	20	293	0	0
0.197	1	0	20	8	5	22	233	0	0
0.587	1	1	59	8	1	28	2196	0	0
0.742	1	1	75	3	1	28	2196	0	0
0.036	1	0	4	7	4	20	1191	0	0
0.878	1	1	88	9	1	28	2196	0	0
0.588	1	1	59	9	1	28	2196	0	0
0.198	1	0	20	9	1	8	173	0	0
0.198	1	0	20	9	2	28	373	0	0
0.198	1	0	20	9	3	14	253	0	0
0.198	1	0	20	9	4	20	97	0	0
0.037	1	0	4	8	1	8	421	0	0
0.743	1	1	75	4	1	28	2196	0	0
0.879	1	1	88	10	1	28	2196	0	0
0.589	1	1	59	10	1	28	2196	0	0
0.038	1	0	4	9	5	22	1383	0	0
0.199	1	0	20	10	1	8	209	0	0
0.199	1	0	20	10	4	20	293	0	0
0.199	1	0	20	10	5	22	349	0	0
0.88	1	1	89	1	1	28	2196	0	0
0.744	1	1	75	5	1	28	2196	0	0
0.59	1	1	60	1	1	28	2196	0	0
0.039	1	0	4	10	3	14	775	0	0
0.745	1	1	75	6	1	28	2196	0	0
0.2	1	0	21	1	1	8	173	0	0
0.2	1	0	21	1	2	28	373	0	0
0.2	1	0	21	1	3	14	317	0	0
0.591	1	1	60	2	1	28	2196	0	0
0.04	1	0	5	1	1	8	421	0	0
0.746	1	1	75	7	1	28	2196	0	0
0.592	1	1	60	3	1	28	2196	0	0
0.201	1	0	21	2	1	8	101	0	0
0.201	1	0	21	2	3	14	193	0	0
0.201	1	0	21	2	4	20	293	0	0
0.201	1	0	21	2	5	22	349	0	0
0.041	1	0	5	2	2	28	2196	0	0
0.593	1	1	60	4	1	28	2196	0	0
0.747	1	1	75	8	1	28	2196	0	0
0.042	1	0	5	3	1	8	421	0	0
0.202	1	0	21	3	1	8	241	0	0
0.202	1	0	21	3	2	28	373	0	0
0.202	1	0	21	3	3	14	61	0	0
0.202	1	0	21	3	4	20	193	0	0
0.594	1	1	60	5	1	28	2196	0	0
0.748	1	1	75	9	1	28	2196	0	0
0.881	1	1	89	2	1	28	2196	0	0
0.043	1	0	5	4	3	14	775	0	0
0.203	1	0	21	4	1	8	173	0	0
0.203	1	0	21	4	3	14	253	0	0
0.203	1	0	21	4	5	22	349	0	0
0.595	1	1	60	6	1	28	2196	0	0
0.882	1	1	89	3	1	28	2196	0	0
0.749	1	1	75	10	1	28	2196	0	0
0.044	1	0	5	5	4	20	1191	0	0
0.596	1	1	60	7	1	28	2196	0	0
0.75	1	1	76	1	1	28	2196	0	0
0.204	1	0	21	5	1	8	137	0	0
0.045	1	0	5	6	1	8	421	0	0
0.204	1	0	21	5	2	28	185	0	0
0.204	1	0	21	5	3	14	193	0	0
0.204	1	0	21	5	4	20	389	0	0
0.597	1	1	60	8	1	28	2196	0	0
0.046	1	0	5	7	5	22	1383	0	0
0.751	1	1	76	2	1	28	2196	0	0
0.205	1	0	21	6	1	8	209	0	0
0.205	1	0	21	6	3	14	193	0	0
0.205	1	0	21	6	5	22	349	0	0
0.598	1	1	60	9	1	28	2196	0	0
0.047	1	0	5	8	1	8	421	0	0
0.752	1	1	76	3	1	28	2196	0	0
0.599	1	1	60	10	1	28	2196	0	0
0.206	1	0	21	7	1	8	173	0	0
0.206	1	0	21	7	2	28	373	0	0
0.206	1	0	21	7	3	14	125	0	0
0.206	1	0	21	7	4	20	293	0	0
0.048	1	0	5	9	3	14	775	0	0
0.753	1	1	76	4	1	28	2196	0	0
0.6	1	1	61	1	1	28	2196	0	0
0.883	1	1	89	4	1	28	2196	0	0
0.049	1	0	5	10	1	8	421	0	0
0.207	1	0	21	8	1	8	173	0	0
0.207	1	0	21	8	3	14	193	0	0
0.207	1	0	21	8	4	20	97	0	0
0.207	1	0	21	8	5	22	349	0	0
0.754	1	1	76	5	1	28	2196	0	0
0.884	1	1	89	5	1	28	2196	0	0
0.601	1	1	61	2	1	28	2196	0	0
0.208	1	0	21	9	1	8	137	0	0
0.208	1	0	21	9	2	28	373	0	0
0.208	1	0	21	9	3	14	193	0	0
0.208	1	0	21	9	4	20	293	0	0
0.05	1	0	6	1	4	20	1191	0	0
0.602	1	1	61	3	1	28	2196	0	0
0.885	1	1	89	6	1	28	2196	0	0
0.755	1	1	76	6	1	28	2196	0	0
0.209	1	0	21	10	1	8	209	0	0
0.209	1	0	21	10	3	14	193	0	0
0.209	1	0	21	10	5	22	349	0	0
0.051	1	0	6	2	1	8	421	0	0
0.603	1	1	61	4	1	28	2196	0	0
0.756	1	1	76	7	1	28	2196	0	0
0.052	1	0	6	3	3	14	775	0	0
0.604	1	1	61	5	1	28	2196	0	0
0.21	1	0	22	1	1	8	173	0	0
0.21	1	0	22	1	2	28	373	0	0
0.21	1	0	22	1	3	14	61	0	0
0.21	1	0	22	1	4	20	389	0	0
0.757	1	1	76	8	1	28	2196	0	0
0.053	1	0	6	4	5	22	1383	0	0
0.605	1	1	61	6	1	28	2196	0	0
0.758	1	1	76	9	1	28	2196	0	0
0.211	1	0	22	2	1	8	173	0	0
0.211	1	0	22	2	3	14	253	0	0
0.211	1	0	22	2	5	22	349	0	0
0.054	1	0	6	5	2	28	2196	0	0
0.606	1	1	61	7	1	28	2196	0	0
0.886	1	1	89	7	1	28	2196	0	0
0.055	1	0	6	6	1	8	421	0	0
0.759	1	1	76	10	1	28	2196	0	0
0.212	1	0	22	3	1	8	137	0	0
0.212	1	0	22	3	2	28	373	0	0
0.212	1	0	22	3	3	14	193	0	0
0.212	1	0	22	3	4	20	293	0	0
0.607	1	1	61	8	1	28	2196	0	0
0.056	1	0	6	7	3	14	775	0	0
0.887	1	1	89	8	1	28	2196	0	0
0.76	1	1	77	1	1	28	2196	0	0
0.608	1	1	61	9	1	28	2196	0	0
0.213	1	0	22	4	1	8	209	0	0
0.213	1	0	22	4	3	14	193	0	0
0.213	1	0	22	4	5	22	349	0	0
0.888	1	1	89	9	1	28	2196	0	0
0.057	1	0	6	8	1	8	421	0	0
0.761	1	1	77	2	1	28	2196	0	0
0.609	1	1	61	10	1	28	2196	0	0
0.214	1	0	22	5	1	8	209	0	0
0.058	1	0	6	9	4	20	1191	0	0
0.214	1	0	22	5	2	28	373	0	0
0.214	1	0	22	5	4	20	389	0	0
0.889	1	1	89	10	1	28	2196	0	0
0.61	1	1	62	1	1	28	2196	0	0
0.762	1	1	77	3	1	28	2196	0	0
0.059	1	0	6	10	1	8	421	0	0
0.215	1	0	22	6	1	8	101	0	0
0.215	1	0	22	6	3	14	389	0	0
0.215	1	0	22	6	5	22	349	0	0
0.611	1	1	62	2	1	28	2196	0	0
0.06	1	0	7	1	3	14	775	0	0
0.763	1	1	77	4	1	28	2196	0	0
0.612	1	1	62	3	1	28	2196	0	0
0.216	1	0	22	7	1	8	241	0	0
0.216	1	0	22	7	2	28	373	0	0
0.216	1	0	22	7	4	20	293	0	0
0.764	1	1	77	5	1	28	2196	0	0
0.061	1	0	7	2	5	22	1383	0	0
0.613	1	1	62	4	1	28	2196	0	0
0.217	1	0	22	8	1	8	67	0	0
0.217	1	0	22	8	3	14	317	0	0
0.217	1	0	22	8	4	20	193	0	0
0.217	1	0	22	8	5	22	349	0	0
0.765	1	1	77	6	1	28	2196	0	0
0.614	1	1	62	5	1	28	2196	0	0
0.062	1	0	7	3	1	8	421	0	0
0.89	1	1	90	1	1	28	2196	0	0
0.766	1	1	77	7	1	28	2196	0	0
0.218	1	0	22	9	1	8	277	0	0
0.218	1	0	22	9	2	28	373	0	0
0.218	1	0	22	9	5	22	233	0	0
0.615	1	1	62	6	1	28	2196	0	0
0.891	1	1	90	2	1	28	2196	0	0
0.063	1	0	7	4	4	20	1191	0	0
0.219	1	0	22	10	1	8	101	0	0
0.219	1	0	22	10	3	14	317	0	0
0.219	1	0	22	10	4	20	389	0	0
0.616	1	1	62	7	1	28	2196	0	0
0.767	1	1	77	8	1	28	2196	0	0
0.892	1	1	90	3	1	28	2196	0	0
0.064	1	0	7	5	1	8	421	0	0
0.768	1	1	77	9	1	28	2196	0	0
0.617	1	1	62	8	1	28	2196	0	0
0.893	1	1	90	4	1	28	2196	0	0
0.22	1	0	23	1	1	8	241	0	0
0.22	1	0	23	1	2	28	185	0	0
0.22	1	0	23	1	3	14	61	0	0
0.22	1	0	23	1	5	22	349	0	0
0.618	1	1	62	9	1	28	2196	0	0
0.065	1	0	7	6	3	14	775	0	0
0.769	1	1	77	10	1	28	2196	0	0
0.221	1	0	23	2	1	8	101	0	0
0.221	1	0	23	2	2	28	185	0	0
0.221	1	0	23	2	3	14	317	0	0
0.221	1	0	23	2	4	20	293	0	0
0.066	1	0	7	7	2	28	2196	0	0
0.619	1	1	62	10	1	28	2196	0	0
0.77	1	1	78	1	1	28	2196	0	0
0.222	1	0	23	3	1	8	241	0	0
0.222	1	0	23	3	2	28	185	0	0
0.222	1	0	23	3	4	20	97	0	0
0.222	1	0	23	3	5	22	349	0	0
0.62	1	1	63	1	1	28	2196	0	0
0.067	1	0	7	8	1	8	421	0	0
0.771	1	1	78	2	1	28	2196	0	0
0.223	1	0	23	4	1	8	137	0	0
0.223	1	0	23	4	3	14	317	0	0
0.223	1	0	23	4	4	20	293	0	0
0.621	1	1	63	2	1	28	2196	0	0
0.068	1	0	7	9	1	8	421	0	0
0.772	1	1	78	3	1	28	2196	0	0
0.894	1	1	90	5	1	28	2196	0	0
0.622	1	1	63	3	1	28	2196	0	0
0.224	1	0	23	5	1	8	209	0	0
