% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.033	1	4	4	4	3	0	85
0.74	1	1	75	1	1	28	749
0.74	1	3	75	1	2	28	749
0.74	1	2	75	1	3	28	749
0.585	1	1	59	6	1	28	749
0.585	1	3	59	6	2	28	749
0.585	1	2	59	6	3	28	749
0.196	1	5	20	7	1	2	26
0.196	1	1	20	7	2	28	469
0.196	1	4	20	7	3	8	85
0.196	1	3	20	7	4	12	125
0.196	1	2	20	7	5	14	157
0.586	1	1	59	7	1	28	749
0.586	1	3	59	7	2	28	749
0.586	1	2	59	7	3	28	749
0.741	1	1	75	2	1	28	749
0.741	1	3	75	2	2	28	749
0.741	1	2	75	2	3	28	749
0.877	1	1	88	8	1	28	749
0.877	1	3	88	8	2	28	749
0.877	1	2	88	8	3	28	749
0.197	1	5	20	8	1	2	26
0.197	1	1	20	8	2	28	469
0.197	1	4	20	8	3	8	85
0.197	1	3	20	8	4	12	125
0.197	1	2	20	8	5	14	157
0.587	1	1	59	8	1	28	749
0.587	1	3	59	8	2	28	749
0.587	1	2	59	8	3	28	749
0.742	1	1	75	3	1	28	749
0.742	1	3	75	3	2	28	749
0.742	1	2	75	3	3	28	749
0.036	1	5	4	7	1	0	85
0.878	1	1	88	9	1	28	749
0.878	1	3	88	9	2	28	749
0.878	1	2	88	9	3	28	749
0.588	1	1	59	9	1	28	749
0.588	1	3	59	9	2	28	749
0.588	1	2	59	9	3	28	749
0.198	1	5	20	9	1	2	26
0.198	1	1	20	9	2	28	469
0.198	1	4	20	9	3	8	85
0.198	1	3	20	9	4	12	125
0.198	1	2	20	9	5	14	157
0.037	1	1	4	8	2	0	85
0.743	1	1	75	4	1	28	749
0.743	1	3	75	4	2	28	749
0.743	1	2	75	4	3	28	749
0.879	1	1	88	10	1	28	749
0.879	1	3	88	10	2	28	749
0.879	1	2	88	10	3	28	749
0.589	1	1	59	10	1	28	749
0.589	1	3	59	10	2	28	749
0.589	1	2	59	10	3	28	749
0.199	1	5	20	10	1	2	26
0.199	1	1	20	10	2	28	469
0.199	1	4	20	10	3	8	85
0.199	1	3	20	10	4	12	125
0.199	1	2	20	10	5	14	157
0.88	1	1	89	1	1	28	749
0.88	1	3	89	1	2	28	749
0.88	1	2	89	1	3	28	749
0.744	1	1	75	5	1	28	749
0.744	1	3	75	5	2	28	749
0.744	1	2	75	5	3	28	749
0.59	1	1	60	1	1	28	749
0.59	1	3	60	1	2	28	749
0.59	1	2	60	1	3	28	749
0.039	1	3	4	10	4	0	85
0.745	1	1	75	6	1	28	749
0.745	1	3	75	6	2	28	749
0.745	1	2	75	6	3	28	749
0.2	1	5	21	1	1	2	26
0.2	1	1	21	1	2	28	469
